country,tax_rate,unempl_rate,edu_index,health_index,corruption_rank,democracy_index,personal_freedom,economic_freedom,human_freedom,inflation,median_age,life_expectancy,social_mobility,press_score,gdp_per_capita,literacy_rate,infant_mortality,political_rights,civil_liberties,hdi,crime_index,safety_index,epi,pollution,safety,law_index,happiness,gini,gdp_growth,voting_age,reg_voters,opportunity,share_agriculture,avg_temperature,suicide_total,suicide_male,suicide_female,perc_urban_pop,urban_rate
Senegal,40,22.6,0.368,N/A,67,5.67,6.97,6.17,6.57,1.3,18.1,67.9,36,25.22,3458,51.9,58.9,29,42,0.512,N/A,N/A,30.7,N/A,N/A,-0.19,4.981,40.3,0.82,N/A,N/A,120,14.99,27.85,6,9.2,3,48,3.73
Serbia,10,11.1,0.778,51.96,94,6.22,7.71,6.89,7.3,3.1,38.7,75.8,63.8,32.03,15432,98.3,6.7,22,42,0.806,38.1,61.9,55.2,61.66,62.59,-0.12,5.778,39.6,N/A,N/A,N/A,63,5.95,10.55,11.4,16.6,6.3,56,-0.07
Seychelles,N/A,4,0.727,N/A,27,N/A,7.17,7.16,7.16,2.9,N/A,N/A,N/A,25.66,29328,95.9,12.3,34,43,0.796,N/A,N/A,58.2,N/A,N/A,0.17,N/A,46.8,-13.35,N/A,N/A,52,2.23,27.15,8.1,14.4,1.4,57,1.26
Sierra Leone,15,4.6,0.39,N/A,117,4.86,6.27,5.71,5.99,18.2,19.1,54.7,N/A,29.61,1530,43.2,154.4,28,37,0.452,N/A,N/A,25.7,N/A,N/A,-0.77,3.926,34,-2.24,N/A,N/A,131,54.34,26.05,6.7,8.3,5.1,42,3.12
Singapore,22,2.7,0.832,71.23,3,6.03,7.5,8.71,8.11,0.6,38.1,83.4,74.6,55.2,94105,97.3,2.3,19,29,0.938,27.96,72.04,58.1,33.14,69.43,1.88,6.377,N/A,-5.39,N/A,N/A,12,0.03,26.45,11.2,15,7.1,100,1.39
Sint Maarten,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,1.56
Sint Maarten (Dutch part),48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Slovakia,25,7.66,0.831,60.19,60,6.97,8.54,7.51,8.02,1.3,N/A,N/A,68.5,23.02,32371,N/A,6.8,37,53,0.86,30.37,69.63,68.3,39.5,70.78,0.56,6.281,26.5,-5.2,59.43,59.82,40,2.48,6.8,12.1,21.2,3.4,53,0
Slovenia,50,7.3,0.886,65.19,35,7.54,8.78,7.15,7.97,1.4,42.4,81.4,76.4,23.1,36387,99.7,4.2,39,56,0.917,22.28,77.72,72,22.65,78.93,1.12,6.363,25.4,N/A,54.09,51.73,27,2.01,8.9,19.8,31.4,8.3,55,0.56
Solomon Islands,N/A,N/A,0.469,N/A,78,N/A,N/A,N/A,N/A,0.5,19.7,73.1,N/A,N/A,2427,N/A,19,30,49,0.567,N/A,N/A,26.7,N/A,N/A,-0.14,N/A,37.1,-4.32,N/A,N/A,N/A,N/A,25.65,14.7,27,1.9,24,3.91
Somalia,N/A,N/A,N/A,N/A,179,N/A,N/A,N/A,N/A,1.5,16.3,57.4,N/A,55.47,N/A,N/A,113.1,1,6,N/A,56.04,43.96,N/A,N/A,41.5,-2.35,N/A,N/A,-1.5,N/A,N/A,N/A,N/A,27.05,7.9,12,3.8,46,4.23
Somaliland,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,45,34.4,0.708,63.94,69,7.05,7.55,6.61,7.08,5.3,N/A,N/A,41.4,21.59,13526,87,44.4,33,46,0.709,76.86,23.14,43.1,56.45,22.51,-0.08,4.814,63,-6.96,N/A,N/A,50,1.88,17.75,23.5,37.6,9.8,67,1.97
South Korea,45,2.8,0.862,82.36,N/A,8.01,8.81,7.59,8.2,N/A,N/A,N/A,71.4,23.43,38824,N/A,N/A,33,50,0.916,26.68,73.32,66.5,62.42,71.98,1.19,5.872,31.6,-0.95,77.92,77.23,19,1.62,11.5,28.6,40.2,16.9,81,0.3
South Ossetia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Sudan,N/A,N/A,0.297,N/A,179,N/A,N/A,N/A,N/A,187.9,18.6,57.9,N/A,45.78,N/A,34.5,N/A,-2,4,0.433,N/A,N/A,N/A,N/A,N/A,N/A,2.817,N/A,-6.58,N/A,N/A,N/A,N/A,N/A,3.9,5.7,2,20,4.1
Spain,47,15.26,0.824,78.85,32,8.12,8.69,7.55,8.12,2,41.4,83.6,70,20.44,39037,98.4,4.2,37,53,0.904,33.32,66.68,74.3,39.73,68.04,0.98,6.401,36.2,-10.96,61.17,66.48,24,2.61,13.3,7.7,11.4,4.2,80,0.33
Sri Lanka,18,5.7,0.749,72.72,94,6.14,6.25,6.57,6.41,6.5,31.4,77.1,52.3,42.2,12863,N/A,18.5,23,33,0.782,41.39,58.61,39,59.97,59.78,-0.01,4.327,39.8,-3.56,N/A,N/A,95,7.54,26.95,14,22.3,6.2,18,0.85
St Maarten,48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
St. Lucia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37,54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
St. Vincent and the Grenadines,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11769,N/A,N/A,36,55,N/A,N/A,N/A,N/A,N/A,N/A,0.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sub-Saharan Africa,N/A,N/A,N/A,N/A,N/A,3.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sudan,15,17.7,0.328,N/A,174,2.54,3.97,4.67,4.32,32.4,19.2,65.3,N/A,52.93,4914,60.7,82.4,2,15,0.51,42.34,57.66,34.8,N/A,N/A,-1.14,N/A,35.4,-3.63,N/A,N/A,138,21.77,26.9,3.8,4.9,2.8,35,3.17
Suriname,38,11.2,0.636,N/A,94,6.82,8.3,6.65,7.48,22,N/A,N/A,N/A,16.95,15191,94.4,18.8,34,45,0.738,N/A,N/A,45.2,N/A,N/A,-0.06,N/A,57.6,13.45,N/A,N/A,126,8.66,25.7,25.4,38.8,11.8,66,0.9
Swaziland,33,23.4,0.528,N/A,N/A,N/A,N/A,N/A,N/A,6.2,N/A,N/A,N/A,N/A,N/A,N/A,68.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.5,N/A,N/A,N/A,N/A,N/A,116,8.45,N/A,N/A,N/A,N/A,N/A,N/A
Sweden,52.85,8,0.904,68.82,3,9.26,9.45,7.56,8.5,1.9,41,83,83.5,7.24,51405,N/A,2.7,40,60,0.945,48,52,78.7,18.46,52.93,1.91,7.353,29.2,-2.81,82.61,85.81,1,1.38,2.1,14.7,19.9,9.5,88,1.05
Switzerland,40,2.7,0.897,74.08,3,8.83,9.24,8.4,8.82,0.5,42,83.8,82.1,10.55,66307,N/A,4.2,39,57,0.955,21.62,78.38,81.5,19.86,78.4,1.91,7.56,32.3,-2.98,38.63,48.4,5,0.66,5.5,14.5,20.2,9,73,0.88
Syria,22,9,0.412,N/A,178,1.43,2.53,5.05,3.79,28.1,22.4,73,N/A,70.63,N/A,86.4,25.8,-3,4,0.567,67.18,32.82,N/A,73.58,33.54,-2.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.75,2,3.2,0.7,55,1.43
Syrian Arab Republic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taiwan,40,4.36,N/A,86.38,28,8.94,8.94,7.85,8.4,1.1,N/A,N/A,N/A,23.86,N/A,98.5,5.3,38,56,N/A,15.46,84.54,57.2,62.98,84.35,1.14,6.455,N/A,3.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,0.8
Tajikistan,N/A,7.5,0.659,N/A,149,1.94,5.49,6.05,5.77,7.3,21.7,71.1,N/A,55.52,3202,99.8,41,0,8,0.668,N/A,N/A,38.2,N/A,N/A,-1.23,5.556,34,4.5,N/A,N/A,94,20.87,2,4.3,5.7,2.8,27,2.62
Tanzania,30,9.5,0.441,N/A,94,5.1,5.75,6.77,6.26,5.3,17.5,65.4,N/A,40.69,2948,77.9,69.2,12,22,0.529,56,44,31.1,64.38,41.05,-0.58,3.476,37.8,1.02,N/A,N/A,120,26.55,22.35,4.3,6.6,2,35,5.22
Thailand,35,1.9,0.661,77.68,104,6.04,6.25,6.86,6.55,0.7,N/A,N/A,55.4,45.22,17910,92.9,17.6,5,25,0.777,39.35,60.65,45.4,75.35,59.52,0.1,5.999,36.5,-6.08,N/A,N/A,37,8.14,26.3,8.8,15,2.9,51,1.73
Tibet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Timor Leste,N/A,N/A,N/A,N/A,86,7.06,7.52,5.99,6.76,N/A,16.6,69.5,N/A,29.11,7228,N/A,40.6,33,39,N/A,N/A,N/A,35.3,N/A,N/A,N/A,N/A,28.7,-6.8,N/A,N/A,N/A,N/A,25.25,3.7,5.3,2,31,3.35
Togo,N/A,4.1,0.506,N/A,134,2.8,6.41,6.21,6.31,-0.7,18.9,61,N/A,29.59,1663,63.7,56.2,15,28,0.515,N/A,N/A,29.5,N/A,N/A,-0.59,4.187,43.1,N/A,N/A,N/A,125,19.76,27.15,8.8,13.8,3.9,42,3.76
Tokelau,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Tonga,N/A,N/A,0.77,N/A,N/A,N/A,N/A,N/A,N/A,7.4,N/A,N/A,N/A,24.59,5969,99.4,11.5,30,49,0.725,N/A,N/A,45.1,N/A,N/A,0.46,N/A,37.6,-0.46,N/A,N/A,N/A,N/A,25.25,3.8,5,2.6,23,0.71
Transnistria,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trinidad and Tobago,25,4.5,0.722,53.76,86,7.16,6.54,6.7,6.62,1.9,33.3,73.6,N/A,21.55,31645,99,29.9,33,49,0.796,71.63,28.37,47.5,66.66,26.81,-0.12,6.192,40.3,-7.83,N/A,N/A,67,1.16,25.75,8.7,13.9,3.6,53,0.22
Tunisia,35,17.8,0.659,56.15,69,6.59,5.97,6.2,6.08,5.3,N/A,N/A,51.7,29.53,11936,81.8,22.5,32,39,0.74,43.69,56.31,46.7,71.31,58.12,0.06,4.392,32.8,-8.8,N/A,N/A,83,10.27,19.2,3.3,4.7,1.9,69,1.53
Turkey,40,12,0.689,70.75,86,4.48,5.74,6.67,6.21,11.1,29.4,77.7,51.3,49.79,28002,96.2,25.7,16,16,0.82,39.62,60.38,42.6,65.79,60.51,-0.28,5.132,41.9,1.79,0,85.43,73,6.42,9.9,2.4,3.6,1.2,76,2.04
Turkmenistan,N/A,4.38,0.626,N/A,165,1.72,N/A,N/A,N/A,8,25.6,68.3,N/A,80.03,18031,99.7,45.3,0,2,0.715,N/A,N/A,43.9,N/A,N/A,-1.41,5.119,40.8,0.78,N/A,N/A,N/A,10.79,15.1,5.7,8.8,2.7,52,2.46
Turks and Caicos Islands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,13.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93,1.77
Tuvalu,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.1,N/A,N/A,N/A,N/A,3933,N/A,18.4,37,56,N/A,N/A,N/A,N/A,N/A,N/A,0.48,N/A,39.1,0.53,N/A,N/A,N/A,N/A,28,N/A,N/A,N/A,64,2.27
UA Emirates,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.84,N/A,N/A,N/A,N/A,N/A,N/A,0.73,N/A,N/A,N/A,N/A,N/A,N/A
Uganda,40,2.44,0.525,N/A,142,4.94,5.82,7.39,6.61,5.6,15.8,63.3,N/A,41.19,1868,76.5,64.8,11,23,0.544,56.12,43.88,35.6,N/A,41,-0.31,4.432,42.8,N/A,N/A,N/A,108,23.05,22.8,4.6,7.6,1.7,25,5.7
UK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.6,N/A,N/A,N/A,N/A,N/A,N/A,0.59,N/A,N/A,N/A,N/A,N/A,N/A
Ukraine,18,10.5,0.794,53.7,117,5.81,6.56,5.96,6.26,14.4,39.7,72.3,61.2,32.96,8699,99.8,8.9,26,34,0.779,47.42,52.58,49.5,63.59,51.15,-0.7,4.561,25,-4.21,N/A,N/A,91,8.97,8.3,21.6,39.2,6.5,69,-0.33
United Arab Emirates,0,5,0.738,68.22,21,2.7,5.09,7.17,6.13,2,N/A,N/A,N/A,43.13,74035,93.8,12.7,5,12,0.89,15.23,84.77,55.6,49.93,84.3,N/A,6.791,N/A,-5.42,N/A,N/A,33,N/A,27,6.4,8,3,87,1.71
United Kingdom,45,4.6,0.914,75.11,11,8.54,8.85,8.09,8.47,2.7,40.2,81.3,74.4,21.59,44920,N/A,4.8,39,54,0.932,46.07,53.93,81.3,40.1,56.29,N/A,7.165,33.2,-9.92,63.25,69.31,2,N/A,8.45,7.9,11.8,4,83,0.89
United States of America,37,5.2,0.903,69.11,25,7.92,8.72,8.19,8.46,2.1,37.4,78.9,70.4,23.93,59928,N/A,6.2,32,51,0.926,47.81,52.19,69.3,39.26,52.8,1.46,6.94,41.5,-3.5,55.7,86.8,3,0.92,8.55,16.1,25,7.5,82,0.95
United States Virgin Islands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95,0.1
Uruguay,36,9.4,0.733,67.76,21,8.61,8.42,7.05,7.74,6.2,N/A,N/A,67.1,16.38,22610,98.7,N/A,40,58,0.817,51.73,48.27,49.1,45.39,46.19,0.62,6.44,39.5,-5.7,N/A,N/A,48,6.45,17.55,21.2,34.5,8.9,95,0.46
Uzbekistan,N/A,10.2,0.718,N/A,146,2.12,N/A,N/A,N/A,12.5,N/A,N/A,N/A,50.74,6880,100,23.4,2,9,0.72,33.42,66.58,44.3,N/A,N/A,-1.05,6.258,35.3,1.64,N/A,N/A,N/A,25.54,12.05,8,11.3,4.8,50,1.28
Vanuatu,N/A,N/A,0.529,N/A,75,N/A,N/A,N/A,N/A,3.1,21.7,70.5,N/A,N/A,3215,87.5,49.45,33,49,0.609,N/A,N/A,28.9,N/A,N/A,0.18,N/A,37.6,N/A,N/A,N/A,N/A,N/A,23.95,18,28.1,7.6,25,2.55
Vatican City,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,-0.05
Venezuela,34,6.4,0.741,39.48,176,2.76,5.03,2.58,3.8,87.5,N/A,N/A,N/A,47.6,N/A,97.1,21.5,1,13,0.711,83.76,16.24,50.3,75.26,15.51,-2.32,5.053,46.9,-30,N/A,N/A,137,N/A,25.35,2.1,3.5,0.7,88,1.28
Vietnam,35,2.62,0.626,58.61,104,2.94,6.31,6.27,6.29,3.5,N/A,N/A,57.8,78.46,6790,95,22.8,3,16,0.704,46.19,53.81,33.4,85.54,54.65,-0.02,5.353,35.3,2.9,N/A,N/A,77,13.96,24.45,7,10.4,4.7,37,2.98
Virgin Islands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,7.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Virgin Islands, British",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wallis and Futuna,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
West Bank,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2,N/A,N/A,N/A,N/A,N/A,N/A,15.9,4,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
West Bank and Gaza,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-10.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Western Sahara,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69.6,-3,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86,2.61
Yemen,15,13.42,0.349,N/A,176,1.95,2.75,5.84,4.3,24.7,19.1,66.1,N/A,62.35,2606,70.1,54.7,1,10,0.47,N/A,N/A,N/A,N/A,N/A,-1.77,3.527,36.7,-5,N/A,N/A,141,N/A,23.85,5.8,7,4.6,37,4.06
Zambia,37.5,12.2,0.58,N/A,117,4.86,6.13,6.84,6.49,6.6,16.6,63.9,N/A,38.21,4033,N/A,N/A,20,32,0.584,43.62,56.38,34.7,N/A,N/A,-0.46,3.759,57.1,-3.49,N/A,N/A,107,2.86,21.4,7.3,12,2.7,44,4.23
Zimbabwe,40,5.7,0.558,N/A,157,3.16,5.61,5.69,5.65,0.9,19.5,61.4,N/A,43.12,2434,86.5,32.3,11,17,0.571,59.3,40.7,37,76.01,42.53,-1.26,3.299,43.2,-8,N/A,N/A,123,N/A,21,14.1,20,8.8,32,2.19