State,Handguns,Rifles,Shotguns,Firearms (type unknown),Knives or cutting instruments,Other weapons,"Hands|fists|feet, etc."
Alabama,3,0,0,0,0,1,0
Alaska,17,1,6,20,8,5,12
Arizona,170,6,6,31,47,67,10
Arkansas,87,10,5,75,21,29,4
California,762,34,26,320,252,183,102
Colorado,83,5,3,44,32,30,12
Connecticut,11,1,0,53,15,17,7
Delaware,13,0,0,27,2,3,3
District of Columbia,52,0,0,84,18,2,10
Florida,0,0,0,0,0,1,0
Georgia,305,14,3,45,34,35,9
Hawaii,5,0,0,4,7,11,5
Idaho,9,0,0,7,3,13,3
Illinois,564,7,4,72,70,44,10
Indiana,118,3,1,63,25,29,8
Iowa,21,0,0,15,8,8,6
Kansas,37,1,0,18,12,13,12
Kentucky,101,9,5,59,23,20,4
Louisiana,200,21,3,209,24,54,11
Maine,6,0,3,4,2,4,1
Maryland,414,3,4,39,43,34,14
Massachusetts,33,0,0,53,38,14,8
Michigan,172,13,5,189,44,104,24
Minnesota,61,0,0,18,10,15,10
Mississippi,117,4,3,29,11,23,2
Missouri,255,26,10,195,31,37,12
Montana,11,1,1,3,4,4,3
Nebraska,26,2,2,5,2,4,4
Nevada,49,5,3,37,20,23,10
New Hampshire,12,0,0,4,5,7,5
New Jersey,118,2,1,55,45,25,16
New Mexico,51,1,3,41,21,24,5
New York,255,3,5,35,119,89,44
North Carolina,224,26,8,125,52,68,13
North Dakota,5,2,1,5,5,4,4
Ohio,178,13,3,188,26,88,25
Oklahoma,129,11,12,37,27,37,11
Oregon,31,1,4,25,19,14,4
Pennsylvania,350,11,11,57,46,66,15
Rhode Island,1,0,0,9,7,6,2
South Carolina,224,9,8,140,22,27,15
South Dakota,4,1,0,2,3,6,3
Tennessee,173,13,7,198,41,46,20
Texas,568,72,21,403,127,130,58
Utah,18,1,6,16,8,13,4
Vermont,3,2,0,3,0,1,2
Virginia,150,15,9,149,40,49,15
Washington,89,5,3,38,23,24,12
West Virginia,23,7,2,16,6,15,3
Wisconsin,53,3,3,60,25,27,7
Wyoming,7,0,0,2,3,0,1